,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0,4KmkJjHTNlr1jFY56Lyz4E,KATSEYE,PINKY UP,PINKY UP,0,131437,True,0.844,0.876,10,-4.76,0,0.0954,0.00885,5.48e-05,0.13,0.579,151.997,4,pop
1,5IMpnpD0tQVcqWlVIgtAtV,Bella Kay,iloveitiloveitiloveit,iloveitiloveitiloveit,0,183237,True,0.615,0.327,6,-8.13,0,0.0332,0.735,3.09e-05,0.112,0.382,143.198,4,pop
2,7ogpGbKc4Io6NCU6ydxXwZ,Alex Warren,FEVER DREAM,FEVER DREAM,0,153430,False,0.77,0.778,10,-5.546,0,0.046,0.139,0.0,0.307,0.762,107.97,4,pop
3,7gtG45ieyQzKtNKobfLd49,Harry Styles,"Kiss All The Time. Disco, Occasionally.",American Girls,0,213440,False,0.584,0.659,1,-6.838,1,0.0381,0.0128,8.39e-05,0.0776,0.288,101.4,4,pop
4,6f68Ac5tt5BQOpwr0BV9oN,Bruno Mars,The Romantic,I Just Might,0,212973,False,0.786,0.713,5,-6.193,1,0.0326,0.0536,0.0,0.133,0.879,102.997,4,pop
5,12bYYQaLqHliSXvRIYlq8G,Bruno Mars,I Just Might,I Just Might,0,212973,False,0.786,0.713,5,-6.193,1,0.0327,0.0541,0.0,0.133,0.876,102.997,4,pop
6,0QPdjsMOUhwouq1NS3HwfQ,Harry Styles,"Kiss All The Time. Disco, Occasionally.",Coming Up Roses,0,248866,False,0.315,0.236,10,-11.066,1,0.0353,0.557,9.41e-06,0.0948,0.311,176.396,4,pop
7,7eYzn1CuiJK6VvUhf8zA6k,RAYE,THIS MUSIC MAY CONTAIN HOPE.,WHERE IS MY HUSBAND!,0,197142,False,0.39,0.781,8,-7.04,1,0.0918,0.0599,0.0,0.14,0.628,115.939,4,pop
8,3xClevycpBON8bkyxFbAna,Harry Styles,"Kiss All The Time. Disco, Occasionally.",Taste Back,0,221653,False,0.617,0.798,9,-5.891,0,0.0347,0.38,0.00981,0.095,0.501,123.015,4,pop
9,6QletrrmpkUpeJkipX9pgf,Bruno Mars,The Romantic,Cha Cha Cha,0,236559,False,0.787,0.713,0,-7.037,0,0.0338,0.252,5.65e-05,0.0613,0.883,124.997,4,pop
10,1sVBT215CDmVJvfy1E2OCU,Bruno Mars,The Romantic,God Was Showing Off,0,211063,False,0.572,0.717,6,-6.323,1,0.0511,0.26,0.0,0.443,0.962,159.916,4,pop
11,1sA1DhT0bLyeICf8NalPS7,Harry Styles,"Kiss All The Time. Disco, Occasionally.",Aperture,0,311733,False,0.667,0.715,2,-10.07,1,0.0518,0.0974,0.06,0.108,0.186,127.996,4,pop
12,0i4qKfuKJ3juUsEwnJAxk3,Harry Styles,"Kiss All The Time. Disco, Occasionally.","Ready, Steady, Go!",0,160400,False,0.753,0.755,9,-6.444,0,0.0509,0.0527,0.0901,0.232,0.852,117.981,4,pop
13,028i7HBfp8uE5epmx5ieMA,Harry Styles,"Kiss All The Time. Disco, Occasionally.",Pop,0,216026,False,0.412,0.716,11,-7.405,1,0.231,0.0067,0.00756,0.114,0.343,117.995,4,pop
14,4i4BVY2JiH4mDSLIBdNGKD,Bruno Mars,The Romantic,On My Soul,0,174676,False,0.692,0.861,1,-5.823,1,0.0354,0.186,0.0,0.181,0.966,130.035,4,pop
15,0VV0AMmgLBUhzuFedr3F3e,Harry Styles,"Kiss All The Time. Disco, Occasionally.",Dance No More,0,194880,False,0.845,0.752,0,-5.287,1,0.0866,0.0782,0.107,0.115,0.786,117.015,4,pop
16,3QuRLv8zkIYH31O5VgEpmo,Harry Styles,"Kiss All The Time. Disco, Occasionally.",Carla's Song,0,253653,False,0.509,0.65,0,-8.153,1,0.0857,0.459,0.0339,0.077,0.556,153.931,4,pop
17,7s7v5EoNLD6TwDu4Nw51Oy,Harry Styles,"Kiss All The Time. Disco, Occasionally.",Are You Listening Yet?,0,192400,False,0.662,0.846,4,-6.491,1,0.0937,0.0266,0.0126,0.0877,0.382,124.004,4,pop
18,0tV6LXuVzJR4yifqwQuNwN,Harry Styles,"Kiss All The Time. Disco, Occasionally.",The Waiting Game,0,169960,False,0.631,0.87,5,-7.945,1,0.0458,0.0983,0.286,0.104,0.835,166.054,4,pop
19,7BjcYqD0CqXnG45ezWSTYR,Lady Gaga;Doechii,RUNWAY,RUNWAY,0,171010,True,0.781,0.849,9,-5.003,0,0.196,0.0187,9.66e-05,0.335,0.864,120.048,4,pop
20,2bAQsNqdo62T8akkIvWzGl,Hearts2Hearts,RUDE!,RUDE!,0,200000,False,0.78,0.784,6,-4.2,0,0.0893,0.169,8.39e-06,0.339,0.467,128.076,4,pop
21,3THVfoVD5kdCxPviVaCPi7,KATSEYE,Internet Girl,Internet Girl,0,163831,False,0.689,0.94,2,-1.849,1,0.0605,0.00764,0.0,0.171,0.844,130.056,4,pop
22,5Q4HTsEGKanxOwL1nYCnhQ,Peso Pluma;Tito Double P;LENCHO,DINASTÍA (DELUXE),chiclona,0,161620,True,0.794,0.835,2,-5.141,0,0.0609,0.548,0.00124,0.144,0.59,120.97,4,pop
23,0UqHzMvRQnaOXEPKgFVhxN,Laufey,A Matter of Time: The Final Hour,Madwoman,0,239333,False,0.333,0.528,9,-7.974,0,0.0336,0.539,0.0064,0.19,0.456,86.867,4,pop
24,0XOynYFi9hQfIXKnTct9A7,RAYE;Hans Zimmer,THIS MUSIC MAY CONTAIN HOPE.,Click Clack Symphony. (feat. Hans Zimmer),0,301674,False,0.594,0.568,3,-10.116,1,0.0482,0.511,2.35e-06,0.0902,0.631,94.161,4,pop
25,6GteP2UCnpHRWSZTL63QHe,Harry Styles,"Kiss All The Time. Disco, Occasionally.",Season 2 Weight Loss,0,229560,False,0.667,0.885,5,-6.524,0,0.049,0.00252,0.00279,0.124,0.402,118.047,4,pop
26,4dUOhTTMy4ITIbNQKPKYFP,The Strokes,Going Shopping,Going Shopping,0,261747,False,0.565,0.897,9,-4.859,1,0.0844,0.0048,0.00874,0.103,0.687,151.069,4,rock
27,0XpxBV69JUDfqyzrJbndsw,Joji,Piss In The Wind,PIXELATED KISSES,0,110430,True,0.503,0.739,4,-6.667,0,0.0345,0.0354,0.25,0.421,0.0392,124.003,4,rock
28,6ApJPH38pM4dBKJFuW0NrX,Mitski,Nothing's About to Happen to Me,Where's My Phone?,0,189853,False,0.407,0.663,3,-6.968,1,0.0325,0.0183,3.16e-06,0.0677,0.32,132.957,4,rock
29,6iDKiCR13L8Ba6bkK6cqqt,Angine de Poitrine,Vol.II,Sarniezz,0,275599,False,0.477,0.603,11,-8.559,0,0.0669,0.000217,0.846,0.114,0.781,116.023,4,rock
30,1KVkzkmFBx4A8bCma6ruKA,Angine de Poitrine,Vol.II,Fabienk,0,391268,False,0.821,0.455,11,-9.746,0,0.0819,0.027,0.857,0.182,0.79,127.974,4,rock
31,77zqs8ucHCSk5jh9TYec4b,Noah Kahan,The Great Divide,The Great Divide,0,317961,True,0.549,0.678,11,-5.011,1,0.0298,0.00891,0.0,0.142,0.341,80.527,4,indie
32,6ryklsC1VIlTSV7QtWh24G,Buffalo Traffic Jam,I Don't Care,I Don't Care,0,229420,False,0.572,0.586,7,-6.718,1,0.0365,0.216,0.0,0.104,0.207,121.917,4,indie
33,4eMXMUkWS4aChMfA1UO4YJ,Mitski,Nothing's About to Happen to Me,If I Leave,0,180053,False,0.663,0.307,3,-14.412,1,0.0278,0.0847,0.000654,0.11,0.77,155.525,4,indie
34,6EoD3qpTgNtwXNqamzLCn5,Royel Otis,Sweet Hallelujah,Sweet Hallelujah,0,182156,False,0.416,0.827,0,-4.007,1,0.119,0.00473,1.56e-05,0.164,0.494,76.874,4,indie
35,4eFV1LfWlYCVJnPTuSo3db,Joji,Piss In The Wind,LOVE YOU LESS,0,201186,False,0.476,0.668,2,-6.22,1,0.025,0.0414,0.000769,0.133,0.633,79.98,4,indie
36,40p1AU9WjnKzgUTQu3FBEN,Tiffany Day,HALO,EVERYTHING I'VE EVER WANTED,0,135111,True,0.579,0.34,0,-8.813,1,0.0362,0.893,0.0,0.145,0.392,134.933,4,indie
37,0haXcqxsgfbGTq6OYjLyIs,Joji,Piss In The Wind,Hotel California,0,128986,True,0.675,0.293,4,-11.675,1,0.0372,0.879,0.055,0.109,0.558,91.989,4,indie
38,6pFmi8RgLNHLB7nOan39RA,The Neighbourhood,(((((ultraSOUND)))))+,Good Grief,0,261306,False,0.542,0.607,5,-6.49,0,0.026,0.011,0.00892,0.143,0.596,92.006,4,indie
39,5PYrRnaRsCOOE0c65L4y2M,Tiffany Day,HALO,SAME LA,0,224661,True,0.613,0.776,5,-4.173,0,0.042,0.00903,0.121,0.0769,0.578,132.973,4,indie
40,0FyhBw60Tk0UyVqJEJqn9N,Tiffany Day,HALO,DOIT4ME,0,181333,True,0.541,0.95,11,-5.066,0,0.0634,0.003,0.0261,0.266,0.429,134.988,4,indie
41,05CjWFAcAlY6O9po6Qwakk,Ella Langley,Be Her,Be Her,0,217240,False,0.726,0.733,11,-5.218,1,0.0291,0.095,0.0,0.369,0.743,110.981,4,country
42,2jCJjRc9mz6VYBMhLy3H9i,Zach Bryan,With Heaven On Top,Plastic Cigarette,0,185788,False,0.603,0.462,0,-8.802,1,0.0609,0.594,0.00735,0.105,0.478,77.473,4,country
43,0hv6276QhpMDnVJIMxEWPH,Ella Langley,Dandelion,Bottom Of Your Boots,0,199080,False,0.614,0.739,9,-5.964,1,0.0337,0.151,0.00125,0.13,0.512,109.104,4,country
44,7scFxt9VhL4FJwuPSfRlfN,Ella Langley,Dandelion,Choosin' Texas,0,231746,False,0.683,0.781,1,-4.733,1,0.0309,0.0092,0.0,0.193,0.488,112.03,4,country
45,34D5CH3DKBGpAj8ktFOAUH,Ella Langley,Dandelion,Dandelion,0,240946,False,0.556,0.7,11,-6.605,1,0.0462,0.117,0.0,0.119,0.358,137.85,4,country
46,13HD3tYTiz8oSRxWzXEq7g,Ella Langley,Dandelion,Be Her,0,217240,False,0.726,0.733,11,-5.218,1,0.0291,0.095,0.0,0.369,0.743,110.981,4,country
47,65t42trkFQjspA3vzjl7bF,Ella Langley,Dandelion,Broken,0,183853,False,0.636,0.681,6,-5.28,1,0.0321,0.00491,5.2e-06,0.114,0.331,139.772,4,country
